Txn_id,Merch_id,Trans_date,Amount,Card_num,Business_unit
FR255244902985XSV2W7XWW5381,100000,2015-05-01,$6962.06,3540000430832649,1000
AD7222699904CBS7B8TFBYHF,99999,2015-04-27,$6157.14,3540000430832646,1001
ES0976101870730657506801,99996,2015-04-04,$4679.41,3540000430832631,1002
PS37IZCQOU2QYO5HBLDOAEUUCKJ5U,99997,2015-05-05,$4275.47,3540000430832631,1005
SM28P1551207931SR416NTQNO7P,99999,2015-01-03,$2064.13,3540000430832650,1002
FR947889558118F79W7NODW2Q19,99996,2015-01-19,$5801.74,3540000430832630,1000
PT27091939713588030177819,99994,2015-02-01,$1572.93,3540000430832653,1000
GL5446187332003597,99994,2015-05-27,$4149.71,3540000430832650,1002
EE516169454248915048,99993,2015-03-05,$2744.03,3540000430832633,1003
LV05YNJYXJWLJTN3ZPHL9,99997,2015-01-28,$6685.99,3540000430832646,1001
PK91SMOUR1LKOGVQ8ERBHICN,100000,2015-04-16,$4424.58,3540000430832649,1003
FR823701759866KABUVSD5NNB20,99999,2015-02-26,$1272.24,3540000430832637,1000
GE07MQ3936685211926143,99995,2015-02-22,$770.43,3540000430832637,1001
BH76OXKELZKRL2JGYFADPM,99997,2015-04-19,$2494.15,3540000430832649,1004
FO3644118854317417,99993,2015-04-07,$4282.69,3540000430832653,1001
NL73XPPG2153959963,99997,2015-01-09,$3122.33,3540000430832635,1005
FR891562952685VZKZJFAUCVR38,99998,2015-02-24,$629.92,3540000430832658,1004
BH47NOHKRTPS7WVZDV8CVP,99997,2015-02-14,$7135.67,3540000430832631,1003
MU08MICX7253704429745315903NUF,99993,2015-05-26,$6239.37,3540000430832645,1002
NO6766283276457,99998,2015-05-29,$7326.86,3540000430832610,1000
AL9005428051BT1DUP7IIWGXM75I,99999,2015-03-10,$2736.59,3540000430832637,1003
FR982623579238DYY7J2MUTUB63,99994,2015-04-07,$2951.53,3540000430832625,1000
FR547317229694ZXJ5HM9UGOP42,99993,2015-03-09,$8819.26,3540000430832613,1003
IT27T7793844861KNJTIGYDDRBS,99998,2015-03-10,$7144.31,3540000430832642,1001
MR6091072581431715259141034,100000,2015-01-15,$6817.07,3540000430832621,1000
BR3525614051695556549245461BJ,99999,2015-01-02,$1479.36,3540000430832656,1002
FR3651549804168EMFJEFULCV88,99996,2015-03-28,$2870.10,3540000430832608,1004
LI1719997UFJJKNB6WZZN,99998,2015-03-10,$8352.74,3540000430832628,1004
MT18PVPA39696U3FZFB6YX6FS3GYSNI,99999,2015-04-29,$761.32,3540000430832607,1001
FR7496998461290TRTBSY87IY74,99996,2015-04-28,$1653.40,3540000430832642,1001
CZ4446248517224432770566,99999,2015-02-05,$4443.54,3540000430832631,1000
GR710418169MPLNZ8NMQUAMBFTM,99998,2015-01-15,$3652.06,3540000430832621,1000
GI73XQGE06UZDGZV5CLPRRM,99999,2015-03-23,$2385.68,3540000430832615,1003
FR611880828454UIECRPWQKPV96,100000,2015-03-10,$488.15,3540000430832607,1004
GB59EZBU91706373263464,99993,2015-04-29,$5134.01,3540000430832635,1004
MD96RGNUHH4H8CQKTGDDCABU,99994,2015-03-02,$5211.10,3540000430832629,1000
CH9063883ES8PYFHKYDWM,99997,2015-03-12,$6822.88,3540000430832609,1003
PT76742400692863954097104,99993,2015-01-08,$6029.17,3540000430832605,1000
CH930126673P3HEICKXSH,99997,2015-03-14,$2347.39,3540000430832605,1002
CY8107390297MKJFXLN0Z2BCXCAP,100000,2015-04-22,$6667.66,3540000430832615,1002
PT56460774988633258298837,99997,2015-03-29,$1726.51,3540000430832613,1004
PK64ASPNJGOHA5YP4YMG6BKK,99997,2015-02-21,$3677.12,3540000430832648,1005
LT447691929152542369,99993,2015-04-07,$1766.38,3540000430832619,1002
HU57464604236265868596187127,99997,2015-01-27,$8191.08,3540000430832636,1002
RO27NSOPU3QNJPJESQ5O7OAL,99997,2015-04-21,$7634.44,3540000430832655,1003
MD92UNF3UTHHGH5TCIDA6LOT,99994,2015-04-19,$5536.34,3540000430832655,1003
AT429197776276843803,99995,2015-02-16,$7057.98,3540000430832643,1000
BH49YRRGNAXPZJTHQCLRC3,99996,2015-02-12,$2110.40,3540000430832645,1001
BH94IMKP0LYR0XJF5CJQOO,99996,2015-01-25,$4990.32,3540000430832643,1003
RO45UUBRANRGXDZGXCHZIVUI,99997,2015-05-17,$8705.20,3540000430832601,1005
KZ84640BS0TWWSDE7KPP,99995,2015-02-27,$2979.90,3540000430832602,1000
AZ11IDIMWK8UWHBMDQ4Y0HIUAPPA,99999,2015-03-20,$4630.33,3540000430832616,1003
AD4083960447DAE77ATRIFEJ,100000,2015-01-22,$2254.70,3540000430832621,1005
